name,specialization_id
разработка новых npm модулей для существующих приложений,1
проведение рефакторинга (улучшения и оптимизации кода) и ускорение работы сайтов/приложений,1
активное взаимодействие с backend-разработчиками,1
разработка приложений и кода для серверной части,2
тестирование созданных программ и приложений (а также создание автотестов),2
написание технической документации и пользовательских инструкций,2
разработка концепций интерфейсов и реализация дизайна,3
отрисовка графических элементов интерфейса и создание макетов,3
разработка интерактивных прототипов и макетов в Figma,3
Финансовый анализ деятельности предприятия,4
Экономическое планирование хозяйственной деятельности,4
Учет кредиторской и дебиторской задолженности,4
сбор формализация и согласование требований с заказчиками,5
сбор информации описание и моделирование бизнес-процессов,5
анализ эффективности и выработка предложений по оптимизации процессов,5
Ведение налогового и управленческого учета,6
Составление и сдача налоговой отчетности в фонды РФ и налоговую инспекцию,6
Минимизация налоговых выплат,6
Изучение юридически значимой информации,7
Подготовка юр. документов заключения/претензии/исковые заявления/локальные акты и договоры и т.д,7
Консультирование руководства персонала или клиентов,7
установление личности гражданина проверка его дееспособности,8
удостоверение подлинности подписей,8
удостоверение правильности перевода документов,8
Изучение юридически значимой информации,9
Представление интересов организации в суде государственных органах и перед контрагентами,9
Консультирование руководства персонала или клиентов,9
